ProcessDescription;TaskVerb;TaskGrammaticalObject;DataItem;Resource;Concatenation;GDPR-criticality
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";register;for final examination;registration;student;"student register for final examination using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";receive;final examination registration;registration;examination office;"examination office receive final examination registration using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";check;deadline;registration;examination office;"examination office check deadline using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";issue;rejection (deadline);registration;examination office;"examination office issue rejection (deadline) using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";receive;rejection (deadline);registration;student;"student receive rejection (deadline) using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";check ;registration requirements;registration;examination office;"examination office check  registration requirements using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";issue;rejection (requirements not met);registration;examination office;"examination office issue rejection (requirements not met) using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";receive;rejection (requirements not met);registration;student;"student receive rejection (requirements not met) using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";inform;examination committee;registration;examination office;"examination office inform examination committee using registration in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";1
"The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";appoint;examiners and assessors;no data item;examination committee;"examination committee appoint examiners and assessors using no data item in the context of: The business process begins when the student submits an application to register for the final examination. In doing so, the student formally submits the registration to the Examination Office and provides the required registration data and documents. The Examination Office receives the registration for the final examination and records it in the appropriate administrative system. The Examination Office then checks whether the registration was submitted within the specified deadline.
If the registration was not submitted on time, the Examination Office issues a formal rejection due to failure to meet the deadline. This rejection is communicated to the student, who receives it; in this case, the process ends with the status that participation in the examination has been rejected due to a missed deadline.
If the registration was submitted on time, the Examination Office next checks the substantive registration requirements. This includes verifying that all required prerequisites for the final examination are fulfilled and that all necessary documents have been submitted in full. If the registration requirements are not met, the Examination Office issues a corresponding rejection due to unmet requirements. This rejection is communicated to the student, who receives it; the process then ends with the status that participation in the examination has been rejected due to unmet requirements.
If the registration requirements are fulfilled, the Examination Office informs the responsible examination committee about the upcoming final examination. The examination committee then arranges for the appointment of the examiners and assessors. Subsequently, the responsible examiner, typically an instructor, defines the topic of the final examination. The instructor forwards the defined topic together with the formal confirmation of supervision.
Then, the Examination Office schedules the date of the final examination. The Examination Office then formally confirms the examination registration and provides the student with the relevant examination information, in particular the examination date and additional organizational details. The student receives this examination information. With this step, the process is completed, and the final examination is considered registered.";0
